Contestant,Date of Birth,Age,Hometown,Season,Finish,Days Lasted,Votes Against,Tribal Wins,Individual Wins,Total Wins,Ethnicity,Gender
Dawn Meehan,"June 29, 1970 (1970-06-29) (age 51)",40,"South Jordan, UT",South Pacific,10,28,9,4,1,5,Caucasian,W
Whitney Duncan,"August 3, 1984 (1984-08-03) (age 37)",26,"Nashville, TN",South Pacific,9,28,7,4,1,5,Caucasian,W
John Cochran,"January 17, 1987 (1987-01-17) (age 35)",24,"Washington, DC",South Pacific,8,31,13,4,0,4,Caucasian,M
Edna Ma,"August 22, 1975 (1975-08-22) (age 46)",35,"Los Angeles, CA",South Pacific,7,33,15,4,0,4,Asian- American,W
Brandon Hantz,"October 15, 1991 (1991-10-15) (age 30)",19,"Katy, TX",South Pacific,6,36,4,4,1,5,Caucasian,M
Rick Nelson,"October 24, 1959 (1959-10-24) (age 62)",51,"Aurora, UT",South Pacific,5,37,15,4,0,4,Caucasian,M
Ozzy Lusth,"August 23, 1981 (1981-08-23) (age 40)",29,"Venice, CA",South Pacific,4,38,17,4,8,12,Latin- American,M
Albert Destrade,"March 31, 1985 (1985-03-31) (age 37)",26,"Plantation, FL",South Pacific,2,39,1,4,1,5,African-Latin- American,M
Coach Wade,"September 18, 1971 (1971-09-18) (age 50)",39,"Susanville, CA",South Pacific,2,39,0,4,1,5,Caucasian,M
Sophie Clarke,"July 10, 1989 (1989-07-10) (age 32)",21,"Willsboro, NY",South Pacific,1,39,5,4,3,7,Caucasian,W
Kourtney Moon,"February 27, 1982 (1982-02-27) (age 40)",29,"Austin, TX",One World,18,3,N/A,0,N/A,0,Caucasian,W
Nina Acosta,"April 3, 1960 (1960-04-03) (age 62)",51,"Clovis, CA",One World,17,5,6,0,N/A,0,Caucasian,W
Matt Quinlan,"April 5, 1978 (1978-04-05) (age 44)",33,"San Francisco, CA",One World,16,8,7,3,N/A,3,Caucasian,M
Bill Posley,"September 28, 1983 (1983-09-28) (age 38)",27,"Venice, CA",One World,15,11,8,4,N/A,4,African- American,W
Monica Culpepper,"June 15, 1970 (1970-06-15) (age 51)",41,"Tampa, FL",One World,14,14,5,3,N/A,3,Caucasian,W
Colton Cumbie,"November 22, 1990 (1990-11-22) (age 31)",20,"Monroeville, AL",One World,13,16,1,4,N/A,4,Caucasian,M
Jonas Otsuji,"March 25, 1974 (1974-03-25) (age 48)",37,"Lehi, UT",One World,12,20,10,4,0,4,Asian- American,M
Michael Jefferson,"August 29, 1981 (1981-08-29) (age 40)",29,"Seattle, WA",One World,11,22,9,7,1,8,Caucasian,M
Jay Byars,"November 5, 1986 (1986-11-05) (age 35)",24,"Gaffney, SC",One World,10,25,5,7,3,10,Caucasian,M
Leif Manson,"February 1, 1984 (1984-02-01) (age 38)",27,"San Diego, CA",One World,9,27,5,4,1,5,Caucasian,M
Troyzan Robertson,"July 30, 1961 (1961-07-30) (age 60)",50,"Miami, FL",One World,8,30,6,7,4,11,Caucasian,M
Kat Edorsson,"June 22, 1989 (1989-06-22) (age 32)",22,"Orlando, FL",One World,7,33,7,6,2,8,Caucasian,W
Tarzan Smith,"December 12, 1947 (1947-12-12) (age 74)",63,"Houston, TX",One World,6,36,12,4,1,5,Caucasian,M
Alicia Rosa,"January 11, 1987 (1987-01-11) (age 35)",24,"Chicago, IL",One World,5,37,5,3,3,6,Latin- American,W
Christina Cha,"September 26, 1982 (1982-09-26) (age 39)",28,"West Hollywood, CA",One World,4,38,9,3,2,5,Asian- American,W
Chelsea Meissner,"June 13, 1985 (1985-06-13) (age 36)",26,"Charleston, SC",One World,2,39,4,6,3,9,Caucasian,W
Sabrina Thompson,"March 6, 1978 (1978-03-06) (age 44)",33,"Brooklyn, NY",One World,2,39,2,6,2,8,African- American,W
Kim Spradlin,"January 30, 1983 (1983-01-30) (age 39)",28,"San Antonio, TX",One World,1,39,3,6,6,12,Caucasian,W
Zane Knight,"February 20, 1984 (1984-02-20) (age 38)",28,"Danville, VA",Philippines,18,3,5,0,N/A,0,Caucasian,M
Roxy Morris,"June 3, 1984 (1984-06-03) (age 37)",27,"Brooklyn, NY",Philippines,17,6,4,0,N/A,0,African- American,W
Angie Layton,"October 8, 1991 (1991-10-08) (age 30)",20,"Provo, UT",Philippines,16,8,4,0,N/A,0,Caucasian,W
Russell Swan,"February 17, 1967 (1967-02-17) (age 55)",45,"Glenside, PA",Philippines,15,10,4,0,N/A,0,African- American,M
Dana Lambert,"December 13, 1979 (1979-12-13) (age 42)",32,"Winston-Salem, NC",Philippines,14,12,N/A,4,N/A,4,Caucasian,W
Sarah Dawson,"November 15, 1983 (1983-11-15) (age 38)",28,"Silver Spring, MD",Philippines,13,13,5,4,N/A,4,African- American,W
Katie Hanson,"November 29, 1989 (1989-11-29) (age 32)",22,"Newark, DE",Philippines,12,16,4,5,N/A,5,Caucasian,W
RC Saint-Amour,"May 10, 1985 (1985-05-10) (age 36)",26,"New York City, NY",Philippines,11,19,4,7,0,7,Caucasian,W
Jeff Kent,"March 7, 1968 (1968-03-07) (age 54)",44,"Austin, TX",Philippines,10,22,5,5,1,6,Caucasian,M
Artis Silvester,"April 18, 1959 (1959-04-18) (age 63)",52,"Terrytown, LA",Philippines,9,25,5,7,0,7,African- American,M
Pete Yurkowski,"March 3, 1988 (1988-03-03) (age 34)",24,"Holmdel, NJ",Philippines,8,27,9,7,1,8,Caucasian,M
Jonathan Penner,"March 5, 1962 (1962-03-05) (age 60)",50,"Los Angeles, CA",Philippines,7,30,14,5,3,8,Caucasian,M
Carter Williams,"May 26, 1987 (1987-05-26) (age 34)",24,"Shawnee, KS",Philippines,6,33,5,5,4,9,Caucasian,M
Abi-Maria Gomes,"October 21, 1979 (1979-10-21) (age 42)",32,"Los Angeles, CA",Philippines,5,36,9,7,2,9,Latin- American,W
Malcolm Freberg,"May 7, 1987 (1987-05-07) (age 34)",24,"Hermosa Beach, CA",Philippines,4,38,6,3,7,10,Caucasian,M
Lisa Whelchel,"May 29, 1963 (1963-05-29) (age 58)",48,"Dallas, TX",Philippines,2,39,0,7,1,8,Caucasian,W
Michael Skupin,"January 29, 1962 (1962-01-29) (age 60)",50,"White Lake, MI",Philippines,2,39,0,7,3,10,Caucasian,M
Denise Stapley,"January 1, 1971 (1971-01-01) (age 51)",41,"Cedar Rapids, IA",Philippines,1,39,6,1,3,4,Caucasian,W
Francesca Hogi,"November 3, 1973 (1973-11-03) (age 48)",38,"Brooklyn, NY",Caramoan,20,3,6,1,N/A,1,African- American,W
Allie Pohevitz,"December 24, 1987 (1987-12-24) (age 34)",24,"Oceanside, NY",Caramoan,19,5,6,1,N/A,1,Caucasian,W
Hope Driskill,"July 6, 1989 (1989-07-06) (age 32)",22,"Jefferson City, MO",Caramoan,18,7,8,1,N/A,1,Caucasian,W
Shamar Thomas,"September 27, 1985 (1985-09-27) (age 36)",26,"Brooklyn, NY",Caramoan,17,10,8,1,N/A,1,African- American,M
Laura Alexander,"September 12, 1989 (1989-09-12) (age 32)",22,"Washington, DC",Caramoan,16,10,6,1,N/A,1,Caucasian,W
Brandon Hantz,"October 15, 1991 (1991-10-15) (age 30)",20,"Katy, TX",Caramoan,15,13,8,6,N/A,6,Caucasian,M
Matt Bischoff,"April 4, 1974 (1974-04-04) (age 48)",38,"Cincinnati, OH",Caramoan,14,16,4,1,N/A,1,Caucasian,M
Julia Landauer,"November 12, 1991 (1991-11-12) (age 30)",20,"Stanford, CA",Caramoan,13,19,9,1,N/A,1,Caucasian,W
Corinne Kaplan,"January 17, 1979 (1979-01-17) (age 43)",33,"Los Angeles, CA",Caramoan,12,22,7,6,0,6,Caucasian,W
Michael Snow,"August 30, 1968 (1968-08-30) (age 53)",43,"New York City, NY",Caramoan,11,25,10,1,1,2,Caucasian,M
Phillip Sheppard,"March 12, 1958 (1958-03-12) (age 64)",54,"Santa Monica, CA",Caramoan,10,28,5,6,1,7,African- American,M
Malcolm Freberg,"May 7, 1987 (1987-05-07) (age 34)",25,"Hermosa Beach, CA",Caramoan,9,30,11,9,0,9,Caucasian,M
Reynold Toepfer,"October 6, 1982 (1982-10-06) (age 39)",29,"San Francisco, CA",Caramoan,8,31,9,4,3,7,Caucasian,M
Andrea Boehlke,"May 10, 1989 (1989-05-10) (age 32)",23,"New York City, NY",Caramoan,7,33,13,9,1,10,Caucasian,W
Brenda Lowe,"November 3, 1982 (1982-11-03) (age 39)",29,"Miami, FL",Caramoan,6,36,5,9,2,11,Asian-Latin- American,W
Erik Reichenbach,"November 27, 1985 (1985-11-27) (age 36)",26,"Santa Clarita, CA",Caramoan,5,36,2,9,3,12,Caucasian,M
Eddie Fox,"April 15, 1989 (1989-04-15) (age 33)",23,"East Brunswick, NJ",Caramoan,4,38,16,4,1,5,Caucasian,M
Dawn Meehan,"June 29, 1970 (1970-06-29) (age 51)",41,"South Jordan, UT",Caramoan,2,39,2,6,2,8,Caucasian,W
Sherri Biethman,"September 9, 1971 (1971-09-09) (age 50)",40,"Boise, ID",Caramoan,2,39,6,4,0,4,Caucasian,W
John Cochran,"January 17, 1987 (1987-01-17) (age 35)",25,"Washington, DC",Caramoan,1,39,0,6,6,12,Caucasian,M
Rupert Boneham,"January 27, 1964 (1964-01-27) (age 58)",49,"Indianapolis, IN",Blood vs. Water,20,4,0,0,0,0,Caucasian,M
Colton Cumbie,"November 22, 1990 (1990-11-22) (age 31)",22,"Collinsville, AL",Blood vs. Water,19,7,0,2,N/A,2,Caucasian,M
Rachel Foulger,"July 28, 1979 (1979-07-28) (age 42)",33,"Provo, UT",Blood vs. Water,18,7,5,0,0,0,Caucasian,W
Marissa Peterson,"September 25, 1991 (1991-09-25) (age 30)",21,"Chapel Hill, NC",Blood vs. Water,17,9,10,0,2,2,African- American,W
Candice Cody,"November 12, 1982 (1982-11-12) (age 39)",30,"Washington, DC",Blood vs. Water,16,11,6,0,3,3,Caucasian,W
Brad Culpepper,"May 8, 1969 (1969-05-08) (age 52)",44,"Tampa, FL",Blood vs. Water,15,14,7,0,1,1,Caucasian,M
Kat Edorsson,"June 22, 1989 (1989-06-22) (age 32)",23,"Orlando, FL",Blood vs. Water,14,17,5,4,0,4,Caucasian,W
John Cody,"May 12, 1983 (1983-05-12) (age 38)",30,"Washington, DC",Blood vs. Water,13,19,8,0,4,4,Caucasian,M
Laura Boneham,"August 29, 1968 (1968-08-29) (age 53)",44,"Indianapolis, IN",Blood vs. Water,12,19,11,4,0,4,Caucasian,W
Aras Baskauskas,"September 26, 1981 (1981-09-26) (age 40)",31,"Santa Monica, CA",Blood vs. Water,11,25,7,6,0,6,Caucasian,M
Vytas Baskauskas,"December 8, 1979 (1979-12-08) (age 42)",33,"Santa Monica, CA",Blood vs. Water,10,27,10,1,2,3,Caucasian,M
Caleb Bankston,"March 26, 1987 (age 27)",26,"Collinsville, AL",Blood vs. Water,9,30,4,3,0,3,Caucasian,M
Katie Collins,"June 27, 1987 (1987-06-27) (age 34)",25,"New York City, NY",Blood vs. Water,8,33,4,1,1,2,Caucasian,W
Hayden Moss,"May 27, 1986 (1986-05-27) (age 35)",26,"Springtown, TX",Blood vs. Water,7,36,8,3,0,3,Caucasian,M
Laura Morett,"July 30, 1969 (1969-07-30) (age 52)",43,"Salem, OR",Blood vs. Water,6,36,19,4,6,10,Caucasian,W
Ciera Eastin,"March 5, 1989 (1989-03-05) (age 33)",24,"Salem, OR",Blood vs. Water,5,37,14,3,1,4,Caucasian,W
Tina Wesson,"December 26, 1960 (1960-12-26) (age 61)",52,"Robbinsville, NC",Blood vs. Water,4,38,10,4,5,9,Caucasian,W
Gervase Peterson,"November 2, 1969 (1969-11-02) (age 52)",43,"Philadelphia, PA",Blood vs. Water,2,39,6,6,1,7,African- American,M
Monica Culpepper,"June 15, 1970 (1970-06-15) (age 51)",42,"Tampa, FL",Blood vs. Water,2,39,6,4,3,7,Caucasian,W
Tyson Apostol,"June 17, 1979 (1979-06-17) (age 42)",33,"Provo, UT",Blood vs. Water,1,39,2,6,2,8,Caucasian,M
David Samson,"February 26, 1968 (1968-02-26) (age 54)",45,"Plantation, FL",Cagayan,18,3,4,0,N/A,0,Caucasian,M
Garrett Adelstein,"May 16, 1986 (1986-05-16) (age 35)",27,"Santa Monica, CA",Cagayan,17,6,3,0,N/A,0,Caucasian,M
Brice Johnston,"February 20, 1986 (1986-02-20) (age 36)",27,"Philadelphia, PA",Cagayan,16,8,5,2,N/A,2,African- American,M
J'Tia Taylor,"September 1, 1981 (1981-09-01) (age 40)",31,"Chicago, IL",Cagayan,15,11,7,1,N/A,1,African- American,W
Cliff Robinson,"December 16, 1966 (age 53)",46,"Buffalo, NY",Cagayan,14,14,4,6,N/A,6,African- American,M
Lindsey Ogle,"September 4, 1983 (1983-09-04) (age 38)",29,"Kokomo, IN",Cagayan,13,14,0,6,N/A,6,Caucasian,W
Alexis Maxwell,"March 17, 1992 (1992-03-17) (age 30)",21,"Addison, IL",Cagayan,12,16,8,5,N/A,5,Latin- American,W
Sarah Lacina,"July 9, 1984 (1984-07-09) (age 37)",29,"Cedar Rapids, IA",Cagayan,11,19,6,6,0,6,Caucasian,W
Morgan McLeod,"July 9, 1992 (1992-07-09) (age 29)",21,"San Jose, CA",Cagayan,10,22,8,5,1,6,Caucasian,W
LJ McKanas,"January 8, 1979 (1979-01-08) (age 43)",34,"Boston, MA",Cagayan,9,25,8,7,1,8,Caucasian,M
Jeremiah Wood,"June 15, 1979 (1979-06-15) (age 42)",34,"Dobson, NC",Cagayan,8,28,9,5,3,8,Caucasian,M
Jefra Bland,"July 2, 1990 (1990-07-02) (age 31)",23,"Campbellsville, KY",Cagayan,7,30,9,7,2,9,Caucasian,W
Tasha Fox,"January 3, 1977 (1977-01-03) (age 45)",36,"St. Louis, MO",Cagayan,6,33,4,2,4,6,African- American,W
Trish Hegarty,"October 9, 1965 (1965-10-09) (age 56)",47,"Needham, MA",Cagayan,5,36,5,8,0,8,Caucasian,W
Spencer Bledsoe,"June 12, 1992 (1992-06-12) (age 29)",21,"Chicago, IL",Cagayan,4,37,8,2,7,9,Caucasian,M
Kass McQuillen,"November 8, 1971 (1971-11-08) (age 50)",41,"Tehachapi, CA",Cagayan,3,38,2,2,2,4,Caucasian,W
Woo Hwang,"March 16, 1984 (1984-03-16) (age 38)",29,"Newport Beach, CA",Cagayan,2,39,4,8,3,11,Asian- American,M
Tony Vlachos,"September 10, 1973 (1973-09-10) (age 48)",39,"Jersey City, NJ",Cagayan,1,39,5,8,2,10,Caucasian,M
Nadiya Anderson,"April 11, 1986 (1986-04-11) (age 36)",28,"Edgewater, NJ",San Juan del Sur,18,3,5,0,N/A,0,Asian- American,W
Val Collins,"November 8, 1978 (1978-11-08) (age 43)",35,"Foxboro, MA",San Juan del Sur,17,6,9,0,N/A,0,African- American,W
John Rocker,"October 17, 1974 (1974-10-17) (age 47)",39,"Atlanta, GA",San Juan del Sur,16,8,5,1,N/A,1,Caucasian,M
Drew Christy,"May 18, 1989 (1989-05-18) (age 32)",25,"Winter Park, FL",San Juan del Sur,15,10,5,6,N/A,6,Caucasian,M
Kelley Wentworth,"June 7, 1986 (1986-06-07) (age 35)",27,"Seattle, WA",San Juan del Sur,14,13,4,6,N/A,6,Caucasian,W
Dale Wentworth,"March 7, 1959 (1959-03-07) (age 63)",55,"Ephrata, WA",San Juan del Sur,13,15,8,2,N/A,2,Caucasian,M
Julie McGee,"January 24, 1980 (1980-01-24) (age 42)",34,"Atlanta, GA",San Juan del Sur,12,18,2,9,0,9,Caucasian,W
Josh Canfield,"July 1, 1981 (1981-07-01) (age 40)",32,"New York City, NY",San Juan del Sur,11,21,6,5,0,5,Caucasian,M
Jeremy Collins,"April 16, 1978 (1978-04-16) (age 44)",36,"Foxboro, MA",San Juan del Sur,10,24,5,9,3,12,African- American,M
Wes Nale,"June 19, 1990 (1990-06-19) (age 31)",23,"Shreveport, LA",San Juan del Sur,9,26,2,5,1,6,Caucasian,M
Reed Kelly,"September 5, 1982 (1982-09-05) (age 39)",31,"New York City, NY",San Juan del Sur,8,29,10,9,4,13,Caucasian,M
Alec Christy,"September 7, 1991 (1991-09-07) (age 30)",22,"Winter Park, FL",San Juan del Sur,7,32,4,5,2,7,Caucasian,M
Jon Misch,"March 29, 1988 (1988-03-29) (age 34)",26,"Waterford, MI",San Juan del Sur,6,35,8,6,3,9,Caucasian,M
Baylor Wilson,"January 25, 1994 (1994-01-25) (age 28)",20,"Nashville, TN",San Juan del Sur,5,37,17,2,2,4,Caucasian,W
Keith Nale,"August 16, 1960 (1960-08-16) (age 61)",53,"Shreveport, LA",San Juan del Sur,4,38,16,6,6,12,Caucasian,M
Missy Payne,"June 10, 1967 (1967-06-10) (age 54)",46,"Dallas, TX",San Juan del Sur,2,39,3,6,1,7,Caucasian,W
Jaclyn Schultz,"August 16, 1988 (1988-08-16) (age 33)",25,"Las Vegas, NV",San Juan del Sur,2,39,6,2,2,4,Caucasian,W
Natalie Anderson,"April 11, 1986 (1986-04-11) (age 36)",28,"Edgewater, NJ",San Juan del Sur,1,39,0,9,4,13,Asian- American,W
So Kim,"January 13, 1983 (1983-01-13) (age 39)",31,"Long Beach, CA",Worlds Apart,18,3,4,0,N/A,0,Asian- American,W
Vince Sly,"February 16, 1982 (1982-02-16) (age 40)",32,"Santa Monica, CA",Worlds Apart,17,6,3,1,N/A,1,Caucasian,M
Nina Poersch,"January 17, 1963 (1963-01-17) (age 59)",51,"Palmdale, CA",Worlds Apart,16,8,4,1,N/A,1,Asian- American,W
Lindsey Cascaddan,"August 24, 1989 (1989-08-24) (age 32)",24,"College Park, FL",Worlds Apart,15,11,5,3,N/A,3,Caucasian,W
Max Dawson,"March 31, 1977 (1977-03-31) (age 45)",37,"Topanga, CA",Worlds Apart,14,14,5,4,N/A,4,Caucasian,M
Joaquin Souberbielle,"August 16, 1986 (1986-08-16) (age 35)",27,"Valley Stream, NY",Worlds Apart,13,16,4,6,N/A,6,Latin- American,M
Kelly Remington,"April 27, 1970 (1970-04-27) (age 52)",44,"Grand Island, NY",Worlds Apart,12,19,4,5,0,5,Caucasian,W
Hali Ford,"July 20, 1989 (1989-07-20) (age 32)",25,"San Francisco, CA",Worlds Apart,11,22,8,5,0,5,Caucasian,W
Joe Anglim,"September 30, 1988 (1988-09-30) (age 33)",25,"Scottsdale, AZ",Worlds Apart,10,24,8,5,3,8,Caucasian,M
Jenn Brown,"January 27, 1992 (1992-01-27) (age 30)",22,"Long Beach, CA",Worlds Apart,9,27,18,5,0,5,Caucasian,W
Shirin Oskooi,"February 25, 1983 (1983-02-25) (age 39)",31,"San Francisco, CA",Worlds Apart,8,29,7,6,1,7,Asian- American,W
Tyler Fredrickson,"February 26, 1981 (1981-02-26) (age 41)",33,"Los Angeles, CA",Worlds Apart,7,32,5,6,3,9,Caucasian,M
Dan Foley,"February 5, 1967 (1967-02-05) (age 55)",47,"Gorham, ME",Worlds Apart,6,35,9,5,2,7,Caucasian,M
Sierra Dawn Thomas,"December 18, 1986 (1986-12-18) (age 35)",27,"Roy, UT",Worlds Apart,5,37,6,5,2,7,Caucasian,W
Rodney Lavoie Jr.,"September 2, 1989 (1989-09-02) (age 32)",24,"Boston, MA",Worlds Apart,4,38,5,5,0,5,Caucasian,M
Carolyn Rivera,"October 7, 1961 (1961-10-07) (age 60)",52,"Tampa, FL",Worlds Apart,2,39,10,6,5,11,Caucasian,W
Will Sims II,"August 13, 1972 (1972-08-13) (age 49)",41,"Sherman Oaks, CA",Worlds Apart,2,39,4,5,2,7,African- American,M
Mike Holloway,"July 25, 1976 (1976-07-25) (age 45)",38,"North Richland Hills, TX",Worlds Apart,1,39,4,5,9,14,Caucasian,M
Vytas Baskauskas,"December 8, 1979 (1979-12-08) (age 42)",35,"Santa Monica, CA",Cambodia,20,3,6,1,N/A,1,Caucasian,M
Shirin Oskooi,"February 25, 1983 (1983-02-25) (age 39)",32,"San Francisco, CA",Cambodia,19,6,5,1,N/A,1,Asian- American,W
Peih-Gee Law,"April 7, 1978 (1978-04-07) (age 44)",37,"San Francisco, CA",Cambodia,18,9,4,1,N/A,1,Asian- American,W
Jeff Varner,"April 16, 1966 (1966-04-16) (age 56)",49,"Greensboro, NC",Cambodia,17,11,4,2,N/A,2,Caucasian,M
Monica Padilla,"July 14, 1984 (1984-07-14) (age 37)",30,"Queens, NY",Cambodia,16,13,3,4,N/A,4,Latin- American,W
Terry Deitz,"October 10, 1959 (1959-10-10) (age 62)",55,"Simsbury, CT",Cambodia,15,13,0,6,N/A,6,Caucasian,M
Woo Hwang,"March 16, 1984 (1984-03-16) (age 38)",31,"Newport Beach, CA",Cambodia,14,16,5,5,N/A,5,Caucasian,M
Kass McQuillen,"November 8, 1971 (1971-11-08) (age 50)",43,"Tehachapi, CA",Cambodia,13,19,6,8,0,8,Caucasian,W
Andrew Savage,"July 29, 1963 (1963-07-29) (age 58)",51,"San Jose, CA",Cambodia,12,21,4,6,0,6,Caucasian,M
Kelly Wiglesworth,"June 24, 1977 (1977-06-24) (age 44)",37,"Greensboro, NC",Cambodia,11,24,8,4,1,5,Caucasian,W
Ciera Eastin,"March 5, 1989 (1989-03-05) (age 33)",26,"Salem, OR",Cambodia,10,26,10,8,3,11,Caucasian,M
Stephen Fishbach,"January 24, 1979 (1979-01-24) (age 43)",36,"New York City, NY",Cambodia,9,29,9,5,2,7,Caucasian,M
Joe Anglim,"September 30, 1988 (1988-09-30) (age 33)",26,"Scottsdale, AZ",Cambodia,8,32,8,8,7,15,Caucasian,M
Abi-Maria Gomes,"October 21, 1979 (1979-10-21) (age 42)",35,"Los Angeles, CA",Cambodia,7,35,14,5,1,6,Latin- American,W
Kimmi Kappenberg,"November 11, 1972 (1972-11-11) (age 49)",42,"The Woodlands, TX",Cambodia,6,36,5,5,1,6,Caucasian,W
Keith Nale,"August 16, 1960 (1960-08-16) (age 61)",54,"Keithville, LA",Cambodia,5,37,4,8,3,11,Caucasian,M
Kelley Wentworth,"June 7, 1986 (1986-06-07) (age 35)",28,"Seattle, WA",Cambodia,4,38,17,7,4,11,Caucasian,W
Spencer Bledsoe,"June 12, 1992 (1992-06-12) (age 29)",22,"Chicago, IL",Cambodia,2,39,11,4,5,9,Caucasian,M
Tasha Fox,"January 3, 1977 (1977-01-03) (age 45)",38,"St. Louis, MO",Cambodia,2,39,8,5,2,7,Caucasian,W
Jeremy Collins,"April 16, 1978 (1978-04-16) (age 44)",37,"Foxboro, MA",Cambodia,1,39,3,5,1,6,African- American,M
Darnell Hamilton,"February 8, 1988 (1988-02-08) (age 34)",27,"Chicago, IL",Kaôh Rōng,18,3,7,0,N/A,0,African- American,M
Jennifer Lanzetti,"July 14, 1977 (1977-07-14) (age 44)",37,"Salt Lake City, UT",Kaôh Rōng,17,6,3,0,N/A,0,Caucasian,W
Liz Markham,"August 14, 1988 (1988-08-14) (age 33)",26,"New York City, NY",Kaôh Rōng,16,8,5,2,N/A,2,Caucasian,W
Caleb Reynolds,"November 27, 1987 (1987-11-27) (age 34)",27,"Hopkinsville, KY",Kaôh Rōng,15,9,N/A,4,N/A,4,Caucasian,M
Alecia Holden,"August 3, 1991 (1991-08-03) (age 30)",23,"Dallas, TX",Kaôh Rōng,14,11,8,1,N/A,1,Caucasian,W
Anna Khait,"September 17, 1988 (1988-09-17) (age 33)",26,"Brooklyn, NY",Kaôh Rōng,13,13,5,5,N/A,5,Caucasian,W
Peter Baggenstos,"July 21, 1980 (1980-07-21) (age 41)",34,"Minneapolis, MN",Kaôh Rōng,12,16,7,5,N/A,5,African- American,M
Neal Gottlieb,"February 3, 1977 (1977-02-03) (age 45)",38,"Sausalito, CA",Kaôh Rōng,11,19,0,6,0,6,Caucasian,M
Nick Maiorano,"January 28, 1985 (1985-01-28) (age 37)",30,"Redondo Beach, CA",Kaôh Rōng,10,22,6,7,2,9,Caucasian,M
Debbie Wanner,"November 21, 1965 (1965-11-21) (age 56)",49,"Reading, PA",Kaôh Rōng,9,24,5,6,1,7,Caucasian,W
Scot Pollard,"February 12, 1975 (1975-02-12) (age 47)",40,"Carmel, IN",Kaôh Rōng,8,27,7,2,2,4,Caucasian,M
Julia Sokolowski,"April 8, 1996 (1996-04-08) (age 26)",18,"Boston, MA",Kaôh Rōng,7,29,7,6,4,10,Caucasian,W
Kyle Jason,"July 16, 1984 (1984-07-16) (age 37)",30,"Detroit, MI",Kaôh Rōng,6,32,5,3,3,6,Caucasian,M
Joe del Campo,"July 4, 1943 (1943-07-04) (age 78)",71,"Vero Beach, FL",Kaôh Rōng,5,34,1,5,1,6,Caucasian,M
Cydney Gillon,"September 14, 1992 (1992-09-14) (age 29)",22,"Douglasville, GA",Kaôh Rōng,4,37,5,3,2,5,African- American,W
Tai Trang,"March 23, 1964 (1964-03-23) (age 58)",51,"San Francisco, CA",Kaôh Rōng,2,39,4,6,5,11,Asian- American,M
Aubry Bracco,"November 14, 1985 (1985-11-14) (age 36)",29,"Cambridge, MA",Kaôh Rōng,2,39,8,5,1,6,Caucasian,W
Michele Fitzgerald,"May 5, 1990 (1990-05-05) (age 31)",24,"Freehold, NJ",Kaôh Rōng,1,39,2,7,6,13,Caucasian,W
Rachel Ako,"September 8, 1978 (1978-09-08) (age 43)",37,"Los Angeles, CA",Millennials vs. Gen X,20,4,5,0,N/A,0,Asian- American,W
Mari Takahashi,"November 2, 1984 (1984-11-02) (age 37)",31,"Los Angeles, CA",Millennials vs. Gen X,19,7,7,1,N/A,1,Asian- American,W
Paul Wachter,"October 10, 1963 (1963-10-10) (age 58)",52,"Sugarloaf Key, FL",Millennials vs. Gen X,18,10,6,1,N/A,1,Caucasian,M
Lucy Huang,"September 22, 1973 (1973-09-22) (age 48)",42,"Diamond Bar, CA",Millennials vs. Gen X,17,12,2,2,N/A,2,Asian- American,W
CeCe Taylor,"March 2, 1977 (1977-03-02) (age 45)",39,"Granada Hills, CA",Millennials vs. Gen X,16,15,11,2,N/A,2,African- American,W
Figgy Figueroa,"December 12, 1992 (1992-12-12) (age 29)",23,"Nashville, TN",Millennials vs. Gen X,15,18,6,4,N/A,4,Latin- American,W
Michaela Bradshaw,"December 1, 1990 (1990-12-01) (age 31)",25,"Fort Worth, TX",Millennials vs. Gen X,14,20,4,7,N/A,7,African- American,W
Michelle Schubert,"March 11, 1988 (1988-03-11) (age 34)",28,"Yakima, WA",Millennials vs. Gen X,13,23,10,7,0,7,Caucasian,W
Taylor Stocker,"November 20, 1991 (1991-11-20) (age 30)",24,"Post Falls, ID",Millennials vs. Gen X,12,25,7,5,1,6,Caucasian,M
Chris Hammons,"April 1, 1978 (1978-04-01) (age 44)",38,"Moore, OK",Millennials vs. Gen X,11,28,7,6,1,7,Caucasian,M
Jessica Lewis,"February 24, 1979 (1979-02-24) (age 43)",37,"Voorheesville, NY",Millennials vs. Gen X,10,30,9,4,0,4,Caucasian,W
Zeke Smith,"January 25, 1988 (1988-01-25) (age 34)",28,"Brooklyn, NY",Millennials vs. Gen X,9,33,14,7,2,9,Caucasian,M
Will Wahl,"August 12, 1997 (1997-08-12) (age 24)",18,"Long Valley, NJ",Millennials vs. Gen X,8,34,6,7,1,8,Caucasian,M
Sunday Burquest,"February 6, 1971 (age 50)",45,"Otsego, MN",Millennials vs. Gen X,7,35,5,6,3,9,Caucasian,W
Jay Starrett,"June 3, 1989 (1989-06-03) (age 32)",26,"Fort Lauderdale, FL",Millennials vs. Gen X,6,36,10,7,3,10,Latin- American,M
Bret LaBelle,"August 20, 1973 (1973-08-20) (age 48)",42,"Dedham, MA",Millennials vs. Gen X,5,37,5,6,3,9,Caucasian,M
David Wright,"February 28, 1974 (1974-02-28) (age 48)",42,"Sherman Oaks, CA",Millennials vs. Gen X,4,38,10,6,3,9,Caucasian,M
